Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,SG,Chris Austin,RS JR,6-4,210,Fordham,Portland,2021-22,Portland,WCC,34,1082,14.2,0.532,0.486,2.5,12.2,7.6,12.9,0.7,1.1,12.9,24.3,454,102.4,104.4,1.5,1.2,2.7,0.3,-1.3,-1.0,31.8,5.0,11.6,3.6,7.4,1.3,4.1,3.1,4.0,0.7,3.6,4.3,1.9,0.4,0.3,2.0,2.3,14.4
2.0,SG,Chris Austin,RS JR,6-4,210,Fordham,Portland,2020-21,Fordham,A-10,14,494,10.8,0.5379999999999999,0.496,0.7,7.1,3.8,6.3,1.4,0.9,10.8,18.9,136,98.7,109.5,0.4,0.3,0.7,-1.0,-0.2,-1.2,35.3,3.8,9.4,2.1,4.0,1.7,5.4,2.1,2.6,0.2,2.1,2.3,0.8,0.8,0.2,1.3,2.4,11.4
2.0,SG,Luke Avdalovic,RSSR,6-5,190,Northern Arizona,Pacific,2020-21,Northern Arizona,Big Sky,19,598,14.9,0.609,0.585,0.4,8.1,3.9,8.8,1.8,0.2,10.1,17.0,179,116.0,117.3,1.2,-0.1,1.1,1.2,-2.0,-0.8,31.5,3.7,8.1,1.6,3.4,2.1,4.6,1.4,1.7,0.1,1.8,1.9,1.3,0.9,0.1,1.0,1.7,10.8
2.0,SG,Luke Avdalovic,RSSR,6-5,190,Northern Arizona,Pacific,2021-22,Pacific,WCC,25,770,10.7,0.547,0.5,0.3,7.7,3.8,4.8,1.1,0.3,10.2,17.0,217,104.3,110.7,0.8,0.4,1.2,-0.3,-1.5,-1.8,30.8,3.1,8.1,1.2,3.0,1.9,5.2,1.9,2.2,0.1,1.9,2.0,0.7,0.6,0.1,1.0,1.0,10.0
2.0,PF,Michael Baer,RSSR,6-7,212,Iowa,Siena,2021-22,Siena,MAAC,29,342,8.2,0.434,0.428,4.6,15.5,10.1,6.3,2.1,1.5,19.6,14.3,68,83.1,102.6,-0.2,0.4,0.3,-3.5,-0.2,-3.7,11.8,0.9,2.4,0.7,1.7,0.2,0.7,0.2,0.3,0.4,1.6,2.0,0.4,0.4,0.2,0.6,0.6,2.2
2.0,PG,Callum Baker,JR,6-3,185,Fairleigh Dickinson,Flagler,2020-21,Fairleigh Dickinson,NEC,23,514,9.0,0.526,0.495,2.4,8.9,5.7,6.6,2.2,0.8,20.4,14.9,127,95.7,112.0,0.2,0.2,0.4,-2.1,-2.3,-4.4,22.3,1.7,4.7,0.6,1.8,1.2,2.9,1.0,1.5,0.5,1.7,2.2,0.9,0.9,0.2,1.4,1.4,5.7
4.0,C,Will Baker,RS SO,7-0,245,Texas,Nevada,2021-22,Nevada,MWC,31,674,19.4,0.613,0.598,7.4,18.3,13.0,8.4,1.2,1.3,17.9,26.3,313,105.6,105.6,1.3,0.7,1.9,2.8,-0.7,2.1,21.7,4.4,8.1,3.6,6.0,0.8,2.1,1.8,2.6,1.4,3.5,4.9,0.8,0.5,0.2,2.0,2.1,11.5
2.0,SF,Chad Baker-Mazara,SO,6-7,190,Duquesne,San Diego State,2021-22,San Diego State,MWC,31,396,21.5,0.5489999999999999,0.49,2.8,15.9,9.5,10.8,3.2,4.3,11.3,27.4,176,108.8,85.6,0.9,1.1,2.0,3.4,5.0,8.4,12.8,2.1,5.1,1.4,3.3,0.7,1.8,1.4,1.6,0.3,1.7,2.0,0.6,0.7,0.5,0.7,1.5,6.4
2.0,SG,Lincoln Ball,SO,6-6,215,George Washington,American,2020-21,George Washington,A-10,14,199,3.4,0.255,0.25,1.2,12.1,7.0,9.7,2.3,0.5,14.5,9.0,20,65.7,105.6,-0.2,0.2,0.0,-5.2,0.4,-4.8,14.2,0.4,2.0,0.3,1.5,0.1,0.5,0.1,0.2,0.1,1.6,1.7,0.8,0.6,0.1,0.4,0.9,1.1
2.0,PF,Jack Ballantyne,RSSR,-10,240,LIU,Indianapolis,2020-21,Long Island University,NEC,17,285,6.2,0.41200000000000003,0.38,7.6,18.7,12.8,10.6,0.8,1.1,23.9,14.0,66,84.0,101.4,-0.1,0.4,0.3,-6.9,-0.8,-7.7,16.8,1.2,3.2,1.1,2.4,0.1,0.8,0.8,1.6,1.3,2.8,4.1,1.1,0.2,0.2,1.2,2.4,3.2
