Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
57,Jahmir Young,JR,2021-22,G,Charlotte,CUSA,31,1111,35.8,6.8,14.5,5.0,9.2,1.8,5.3,4.3,4.8,0.7,5.2,5.9,3.7,1.1,0.5,2.1,1.0,19.6
58,Graham Ike,SO,2021-22,F,Wyoming,MWC,33,1043,31.6,7.3,14.3,7.2,14.0,0.1,0.3,4.8,6.7,2.8,6.8,9.6,1.3,0.7,0.3,3.3,3.3,19.5
59,Tevian Jones,SR,2022-23,G,Southern Utah,WAC,19,633,33.3,6.1,14.1,3.2,7.0,2.9,7.1,4.5,5.7,0.5,3.2,3.7,1.4,1.6,0.2,2.1,1.6,19.5
60,Kendric Davis,SR,2021-22,G,Southern Methodist,AAC,32,1107,34.6,5.8,13.1,3.3,6.6,2.4,6.5,5.5,6.4,0.5,3.3,3.8,4.4,1.5,0.1,2.7,2.1,19.4
61,Jaylen Forbes,JR,2022-23,G,Tulane,AAC,18,633,35.2,5.6,13.1,2.7,5.6,2.9,7.4,5.3,5.8,0.5,4.2,4.7,1.8,2.1,0.3,1.3,2.1,19.4
62,E.J. Liddell,JR,2021-22,F,Ohio State,Big Ten,32,1062,33.2,6.3,12.9,4.9,9.1,1.4,3.8,5.3,6.9,2.3,5.7,7.9,2.5,0.6,2.6,2.4,2.5,19.4
63,Elijah Pepper,JR,2022-23,G,UC Davis,Big West,18,609,33.8,6.6,15.1,4.8,8.9,1.8,6.2,4.4,5.7,1.3,4.7,6.0,3.9,1.4,0.2,3.3,2.2,19.4
64,Orlando Robinson,JR,2021-22,F,Fresno State,MWC,36,1196,33.2,7.0,14.4,5.9,11.5,1.0,2.9,4.5,6.3,2.6,5.8,8.4,2.9,1.0,1.2,2.5,2.4,19.4
65,Kam Woods,SO,2022-23,G,North Carolina A&T,CAA,20,694,34.7,6.6,15.8,3.3,7.3,3.3,8.5,2.9,3.9,0.9,3.1,4.0,3.2,1.6,0.0,2.3,1.7,19.3
66,Buddy Boeheim,SR,2021-22,G,Syracuse,ACC,32,1217,38.0,6.7,16.4,3.9,8.3,2.8,8.1,3.1,3.5,0.6,2.8,3.4,3.1,1.5,0.1,1.8,1.7,19.2
67,Julian Champagnie,JR,2021-22,G,St. John's (NY),Big East,31,1060,34.2,7.1,17.2,5.0,11.0,2.1,6.2,2.9,3.7,1.4,5.3,6.6,2.0,2.0,1.1,1.5,1.5,19.2
68,Tyrn Flowers,SR,2021-22,F,Long Island University,NEC,29,1005,34.7,7.0,15.3,4.0,7.7,3.0,7.7,2.3,3.0,2.2,5.6,7.8,3.2,1.4,1.6,2.4,1.7,19.2
69,Ques Glover,SO,2021-22,G,Samford,Southern,29,903,31.1,7.0,15.0,5.9,11.4,1.1,3.6,4.1,5.2,0.6,2.2,2.8,4.4,1.2,0.0,2.8,2.2,19.2
70,Isaac Jones,JR,2022-23,F,Idaho,Big Sky,19,575,30.3,7.4,10.8,7.2,10.2,0.2,0.6,4.3,6.5,1.9,5.5,7.4,1.6,0.7,1.1,1.6,2.7,19.2
71,Quincy Olivari,JR,2022-23,G,Rice,CUSA,19,621,32.7,6.2,14.2,3.6,7.1,2.6,7.2,4.3,5.4,0.3,5.2,5.4,2.4,1.2,0.1,2.9,2.1,19.2
72,Drew Pember,SR,2022-23,F,UNC Asheville,Big South,20,655,32.8,5.4,12.3,4.0,8.0,1.5,4.3,6.9,8.3,1.9,7.8,9.7,2.4,0.9,2.7,3.4,2.6,19.2
73,David Roddy,JR,2021-22,G,Colorado State,MWC,31,1021,32.9,7.2,12.5,5.7,9.2,1.5,3.4,3.4,4.9,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2
74,Azar Swain,SR,2021-22,G,Yale,Ivy,31,1023,33.0,6.5,15.5,4.2,9.0,2.3,6.5,3.9,4.4,0.4,3.8,4.1,1.6,0.8,0.1,2.3,1.2,19.2
75,Xavier Castaneda,SR,2022-23,G,Akron,MAC,16,518,32.4,4.9,12.3,1.8,4.4,3.1,7.8,6.3,7.8,0.6,3.8,4.4,3.4,1.1,0.1,1.9,1.0,19.1
76,Taevion Kinsey,SR,2021-22,G,Marshall,CUSA,31,1144,36.9,7.1,16.5,6.5,13.5,0.5,3.0,4.4,5.9,2.2,2.9,5.1,4.2,1.0,0.1,2.7,1.5,19.1
77,Mike Miles,JR,2022-23,G,TCU,Big 12,15,477,31.8,6.5,12.3,5.4,8.4,1.1,3.9,4.9,7.1,0.3,2.6,2.9,3.3,1.5,0.3,2.9,2.3,19.1
78,Grant Sherfield,JR,2021-22,G,Nevada,MWC,28,999,35.7,6.7,15.4,5.1,10.5,1.6,4.8,4.1,4.7,0.2,4.0,4.2,6.4,0.6,0.0,3.3,2.0,19.1
79,Terquavion Smith,SO,2022-23,G,NC State,ACC,19,653,34.4,6.4,16.3,3.4,7.4,3.0,8.8,3.3,4.8,0.8,2.8,3.6,4.7,1.8,0.5,2.5,2.7,19.1
80,Marques Warrick,JR,2022-23,G,Northern Kentucky,Horizon,20,692,34.6,6.8,15.5,4.4,9.3,2.4,6.2,3.1,4.1,0.6,2.0,2.5,2.8,1.5,0.4,2.7,1.4,19.1
81,Jeenathan Williams,SR,2021-22,F,Buffalo,MAC,29,946,32.6,7.5,15.3,5.4,10.7,2.1,4.6,2.1,3.0,1.1,3.9,5.0,2.9,1.4,0.8,2.9,1.4,19.1
82,Bryce Fowler,SR,2021-22,G,Sacramento State,Big Sky,29,971,33.5,7.5,15.0,6.8,13.0,0.7,2.0,3.4,4.9,0.9,4.3,5.3,4.0,1.4,0.3,2.4,2.3,19.0
83,Fardaws Aimaq,SO,2021-22,F,Utah Valley,WAC,32,1101,34.4,6.9,14.2,6.3,12.7,0.6,1.4,4.4,6.1,3.0,10.6,13.6,1.7,0.7,1.3,3.0,2.7,18.9
84,Jaden House,JR,2022-23,G,High Point,Big South,19,543,28.6,6.3,13.9,5.4,10.3,0.9,3.6,5.5,8.3,0.9,3.4,4.3,2.1,0.7,0.2,2.8,2.6,18.9
85,Denver Jones,SO,2022-23,G,Florida International,CUSA,17,557,32.8,6.3,12.5,4.2,7.6,2.1,4.9,4.2,4.9,0.8,2.9,3.7,1.9,1.8,0.1,3.2,1.4,18.9
86,Maxwell Lewis,SO,2022-23,F,Pepperdine,WCC,20,618,30.9,6.9,13.5,5.2,9.2,1.8,4.4,3.3,4.0,1.4,4.4,5.8,2.7,0.9,0.8,3.1,2.9,18.9
87,Jose Perez,SR,2021-22,G,Manhattan,MAAC,30,996,33.2,5.9,14.9,5.0,11.1,1.0,3.7,6.1,7.6,0.7,2.5,3.2,4.5,0.8,0.4,3.3,1.6,18.9
88,Ryan Rollins,SO,2021-22,G,Toledo,MAC,34,1111,32.7,6.8,14.6,5.4,10.1,1.4,4.4,3.8,4.8,0.7,5.3,6.0,3.6,1.7,0.3,2.2,2.4,18.9
