Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,C,Theo Akwuba,SR,-11,225,Louisiana,Ole Miss,2021-22,Louisiana,Sun Belt,25,641,20.8,0.581,0.5479999999999999,12.8,21.1,17.0,5.5,1.3,7.8,18.0,18.1,229,111.4,94.5,1.2,1.3,2.5,0.8,1.3,2.2,25.6,3.4,6.3,3.3,6.0,0.1,0.2,2.2,3.2,2.9,5.0,7.9,0.7,0.6,2.0,1.7,2.2,9.1
2.0,SF,Josh Aldrich,SR,6-7,200,USC Upstate,Charlotte,2022-23,Charlotte,CUSA,28,332,11.5,0.5589999999999999,0.528,5.5,11.2,8.5,9.9,0.4,2.2,10.1,16.0,93,116.4,105.2,0.6,0.4,1.0,-0.7,-0.1,-0.8,11.9,1.0,2.6,0.4,1.3,0.6,1.3,0.5,0.6,0.5,1.0,1.5,0.6,0.1,0.2,0.3,1.9,3.2
2.0,SF,Josh Aldrich,SR,6-7,200,USC Upstate,Charlotte,2021-22,South Carolina Upstate,Big South,32,763,15.2,0.579,0.526,7.6,14.4,11.1,7.0,1.3,4.5,12.0,15.4,236,117.0,105.6,1.5,0.7,2.3,-0.4,-1.1,-1.5,23.8,2.5,5.4,1.8,3.6,0.7,1.8,1.5,1.7,1.5,3.0,4.5,0.9,0.5,0.9,0.8,3.0,7.2
2.0,PG,Quest Aldridge,RS SO,6-4,185,Belmont Abbey,Gardner–Webb,2022-23,Gardner-Webb,Big South,31,616,9.4,0.465,0.457,1.0,12.6,6.8,12.7,2.6,0.6,15.8,20.3,180,91.2,97.9,0.0,1.1,1.1,-3.0,0.3,-2.7,19.9,2.2,6.4,0.7,1.7,1.5,4.6,0.3,0.4,0.2,2.1,2.2,1.4,0.9,0.1,1.2,1.5,6.1
2.0,SF,Ali Ali,RS SO,6-8,205,Akron,Butler,2021-22,Akron,MAC,34,1163,15.4,0.561,0.526,3.7,6.7,5.2,15.9,0.9,0.9,17.7,23.9,464,106.7,104.5,2.2,1.3,3.5,0.8,-2.2,-1.4,34.2,4.9,10.6,3.4,7.1,1.4,3.5,2.8,3.9,1.0,1.9,2.9,2.5,0.5,0.3,2.7,1.6,13.9
4.0,SG,Dontaie Allen,RS SO,6-6,210,Kentucky,Western Kentucky,2022-23,Western Kentucky,CUSA,26,543,15.3,0.5529999999999999,0.531,3.6,12.7,8.3,4.9,1.3,1.1,11.3,23.5,212,105.9,106.4,0.8,0.6,1.4,1.9,-0.8,1.1,20.9,3.0,7.4,1.2,2.6,1.8,4.8,1.5,2.2,0.7,2.5,3.1,0.5,0.5,0.2,1.1,1.5,9.3
3.7,SG,Thomas Allen,RSSR,6-1,180,NC State,Ball State,2021-22,NC State,ACC,26,369,13.1,0.46399999999999997,0.451,2.6,7.3,4.7,14.8,2.7,0.6,5.3,15.5,103,110.2,112.4,0.5,0.1,0.7,0.4,0.6,1.1,14.2,1.4,4.0,0.7,1.8,0.7,2.2,0.3,0.4,0.3,0.8,1.2,1.1,0.7,0.1,0.2,0.7,3.8
3.0,SG,Nahiem Alleyne,RS SO,6-4,195,Virginia Tech,Connecticut,2022-23,Connecticut,Big East,39,701,8.2,0.47700000000000004,0.444,2.4,5.1,3.8,7.9,1.5,0.3,10.6,16.5,186,105.4,101.4,0.7,1.0,1.8,-1.1,2.1,1.1,18.0,1.8,5.0,1.0,2.3,0.8,2.7,0.7,0.8,0.4,0.8,1.2,0.8,0.5,0.1,0.6,1.4,5.2
3.0,SG,Nahiem Alleyne,RS SO,6-4,195,Virginia Tech,Connecticut,2021-22,Virginia Tech,ACC,36,1120,11.2,0.518,0.48200000000000004,0.5,10.9,5.8,8.7,1.3,0.1,10.9,18.6,316,104.2,103.3,1.3,1.3,2.7,0.7,1.0,1.7,31.1,3.2,8.5,1.5,3.9,1.7,4.6,1.4,1.7,0.1,2.7,2.8,1.5,0.7,0.0,1.1,1.5,9.6
2.0,PF,Josiah Allick,RS SO,6-8,240,Kansas City,New Mexico,2022-23,New Mexico,MWC,34,1086,14.2,0.5920000000000001,0.5710000000000001,9.5,15.8,12.8,7.2,0.9,2.7,18.0,13.3,320,116.1,104.7,1.8,1.3,3.1,1.3,0.8,2.2,31.9,3.3,6.0,3.1,4.9,0.2,1.1,1.6,2.4,2.6,4.7,7.3,1.4,0.5,0.8,1.6,2.8,8.4
