Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,Souley Boum,SR,2020-21,G,UTEP,CUSA,24,843,35.1,5.4,14.3,2.9,7.8,2.5,6.5,5.4,6.7,0.3,3.4,3.7,2.5,1.4,0.2,2.2,2.3,18.8
102,Hayden Brown,SR,2021-22,F,The Citadel,Southern,30,964,32.1,6.9,13.4,5.8,9.5,1.1,3.9,3.9,6.2,2.2,7.3,9.5,2.3,1.1,0.2,2.3,2.5,18.8
103,Hayden Brown,SR,2020-21,F,The Citadel,Southern,24,754,31.4,6.6,13.0,5.5,9.3,1.1,3.8,4.5,6.3,2.3,8.2,10.5,2.8,1.1,0.4,2.5,2.8,18.8
104,Jalen Cone,SO,2021-22,G,Northern Arizona,Big Sky,32,1109,34.7,6.2,15.9,3.3,7.7,2.9,8.3,3.6,4.3,0.6,2.4,3.0,3.6,0.7,0.0,3.7,2.3,18.8
105,AJ Green,SR,2021-22,G,Northern Iowa,MVC,31,1129,36.4,5.6,13.8,2.6,6.0,3.0,7.7,4.5,4.9,0.2,3.5,3.7,2.5,0.8,0.0,2.2,1.6,18.8
106,Tre Mitchell,SO,2020-21,C,Massachusetts,A-10,13,419,32.2,6.4,12.3,5.2,9.2,1.2,3.1,4.8,6.3,1.4,5.8,7.2,2.2,1.2,1.5,2.2,2.7,18.8
107,MJ Randolph,SR,2021-22,G,Florida A&M,SWAC,30,1158,38.6,6.9,14.9,6.6,13.4,0.4,1.5,4.6,6.7,1.4,4.8,6.2,3.5,2.0,0.1,3.4,2.1,18.8
108,Tyson Walker,SO,2020-21,G,Northeastern,CAA,19,662,34.8,6.5,14.6,4.4,8.6,2.1,5.9,3.7,4.8,0.5,2.4,2.9,4.8,2.4,0.1,3.3,2.0,18.8
109,James Bouknight,SO,2020-21,G,Connecticut,Big East,15,475,31.7,6.5,14.6,5.1,9.6,1.5,5.0,4.2,5.4,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9,18.7
110,Kevin Obanor,JR,2020-21,F,Oral Roberts,Summit,28,894,31.9,6.4,12.6,4.4,8.3,2.0,4.3,4.0,4.6,2.2,7.5,9.6,1.1,0.5,0.7,2.2,2.8,18.7
111,Hunter Dickinson,SO,2021-22,C,Michigan,Big Ten,32,1034,32.3,7.5,13.3,6.8,11.3,0.7,2.0,2.9,3.6,2.3,6.2,8.6,2.3,0.5,1.5,2.0,2.7,18.6
112,Savion Flagg,SR,2021-22,G,Sam Houston State,WAC,32,1068,33.4,7.1,16.2,4.8,9.6,2.3,6.6,2.2,4.3,2.3,5.9,8.2,2.2,1.0,0.3,2.5,1.7,18.6
113,Corey Kispert,SR,2020-21,F,Gonzaga,WCC,32,1019,31.8,6.5,12.3,3.7,5.9,2.8,6.5,2.7,3.1,0.9,4.0,5.0,1.8,0.9,0.4,1.3,1.7,18.6
114,Grant Sherfield,SO,2020-21,G,Nevada,MWC,26,901,34.7,5.9,13.6,4.1,8.7,1.8,4.9,5.0,5.8,0.3,3.5,3.7,6.1,1.6,0.0,2.8,1.5,18.6
115,Oscar Da Silva,SR,2020-21,F,Stanford,Pac-12,24,774,32.3,6.7,11.7,6.1,9.8,0.6,1.9,4.6,5.8,1.8,5.0,6.7,2.4,0.9,1.0,2.5,2.8,18.5
116,Ryan Daly,SR,2020-21,G,Saint Joseph's,A-10,10,350,35.0,6.5,15.3,4.9,9.8,1.6,5.5,3.9,5.7,0.7,5.3,6.0,2.5,1.1,0.4,2.4,2.4,18.5
117,Ryan Davis,JR,2020-21,F,Vermont,AEC,13,353,27.2,7.3,12.5,6.0,9.3,1.3,3.2,2.6,3.2,1.8,4.5,6.3,1.1,0.5,0.6,1.5,2.5,18.5
118,Aaron Estrada,JR,2021-22,G,Hofstra,CAA,32,1125,35.2,7.2,15.1,5.3,9.3,1.9,5.8,2.3,2.4,0.5,5.2,5.7,5.0,1.5,0.2,2.6,1.3,18.5
119,Hunter Maldonado,SR,2021-22,G,Wyoming,MWC,33,1231,37.3,6.5,13.0,5.8,10.5,0.6,2.5,4.9,6.9,1.0,4.7,5.7,6.3,1.2,0.1,3.7,2.8,18.5
120,Alondes Williams,SR,2021-22,G,Wake Forest,ACC,35,1194,34.1,6.9,13.6,5.8,9.6,1.1,4.1,3.6,5.2,1.4,5.0,6.4,5.2,1.2,0.4,3.6,2.1,18.5
121,Grant Basile,JR,2021-22,F,Wright State,Horizon,36,1173,32.6,6.9,13.8,5.8,9.9,1.1,3.8,3.6,4.6,2.6,5.9,8.5,2.0,0.9,1.6,3.0,2.8,18.4
122,Greg Parham,SR,2020-21,G,Virginia Military Institute,Southern,25,848,33.9,6.7,13.8,4.1,7.9,2.6,5.9,2.5,3.1,0.7,3.2,3.9,4.0,1.1,0.1,2.2,1.8,18.4
123,Isaiah Ross,SR,2020-21,G,Iona,MAAC,18,621,34.5,6.4,14.1,3.8,7.4,2.6,6.7,3.1,3.8,0.8,3.1,3.9,1.4,1.4,0.1,2.9,1.7,18.4
